level_number,level_title,type,front,back,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation
1,Introduction to Scientific Instruments,card,What is a barometer?,A barometer is an instrument used to measure atmospheric pressure. It is commonly used in weather forecasting to predict changes in the weather.,,,,,,,,
1,Introduction to Scientific Instruments,card,What is a seismograph?,A seismograph is an instrument that detects and records earthquakes and other ground vibrations. It helps scientists measure the intensity of seismic waves.,,,,,,,,
1,Introduction to Scientific Instruments,card,What is a stethoscope?,A stethoscope is a medical instrument used by doctors to listen to internal sounds of the body, particularly the heart and lungs.,,,,,,,,
1,Introduction to Scientific Instruments,question,,,Which instrument is used for measuring atmospheric pressure?,Thermometer,Barometer,Seismograph,Stethoscope,,b,"A barometer measures atmospheric pressure. Thermometers measure temperature, seismographs detect earthquakes, and stethoscopes listen to body sounds."
1,Introduction to Scientific Instruments,question,,,The instrument used for detecting earthquakes is called a,Barometer,Stethoscope,Seismograph,Thermometer,,c,A seismograph detects and records earthquakes and ground vibrations.
1,Introduction to Scientific Instruments,question,,,A stethoscope is primarily used for,Measuring blood pressure,Listening to heart and lungs,Detecting earthquakes,Measuring temperature,,b,"A stethoscope is used by medical professionals to listen to internal body sounds, especially the heart and lungs."
2,English Language: Synonyms,card,What does 'recalcitrant' mean?,Recalcitrant means having an obstinately uncooperative attitude towards authority or discipline. It describes someone who is stubbornly defiant.,,,,,,,,
2,English Language: Synonyms,card,What does 'clandestine' mean?,Clandestine means kept secret or done secretively, especially because it is not officially allowed. It is often used to describe covert operations.,,,,,,,,
2,English Language: Synonyms,card,What does 'paucity' mean?,Paucity means the presence of something only in small or insufficient quantities or amounts. It indicates scarcity or a lack of something.,,,,,,,,
2,English Language: Synonyms,question,,,The word 'recalcitrant' means,Obedient,Cooperative,Stubbornly defiant,Flexible,,c,"Recalcitrant describes someone who is stubbornly uncooperative or defiant against authority."
2,English Language: Synonyms,question,,,Which of the following means the same as 'clandestine'?,Open,Public,Secret,Legal,,c,"Clandestine means kept secret or done secretively, often because it is not officially allowed."
2,English Language: Synonyms,question,,,'Paucity' means,Abundance,Scarcity,Plenty,Sufficiency,,b,"Paucity refers to a small or insufficient quantity of something, meaning scarcity or lack."
3,English Language: Antonyms,card,What is the opposite of 'placate'?,The opposite of 'placate' is 'provoke' — meaning to stimulate or incite someone to anger or action. Placate means to calm or appease.,,,,,,,,
3,English Language: Antonyms,card,What is an antonym of 'trepidation'?,An antonym of 'trepidation' is 'calmness' or 'courage'. Trepidation means a feeling of fear or agitation about something that may happen.,,,,,,,,
3,English Language: Antonyms,card,What is the opposite of 'enigmatic'?,The opposite of 'enigmatic' is 'clear' or 'transparent'. Enigmatic means difficult to understand or mysterious.,,,,,,,,
3,English Language: Antonyms,question,,,Choose the antonym of 'trepidation',Fear,Calmness,Anxiety,Worry,,b,"Trepidation means fear or agitation, so its opposite is calmness or courage."
3,English Language: Antonyms,question,,,The opposite of 'enigmatic' is,Mysterious,Confusing,Clear,Complex,,c,"Enigmatic means mysterious and difficult to understand, so its opposite is clear or transparent."
3,English Language: Antonyms,question,,,Which word is opposite in meaning to 'precipitous'?,Steep,Sudden,Gradual,Dangerous,,c,"Precipitous means dangerously high or steep, and also means done suddenly. Gradual is the opposite."
4,Nigerian History: Key Figures,card,Who was Lord Lugard?,Lord Frederick Lugard was the Governor-General of Nigeria from 1912 to 1919. He is known for the amalgamation of the Northern and Southern Protectorates of Nigeria in 1914.,,,,,,,,
4,Nigerian History: Key Figures,card,Who was Herbert Macaulay?,Herbert Macaulay is regarded as the father of Nigerian nationalism. He was a Nigerian nationalist and politician who played a key role in the struggle for independence.,,,,,,,,
4,Nigerian History: Key Figures,card,What is the Richards Constitution?,The Richards Constitution was introduced in 1946 by Governor Arthur Richards. It established regional assemblies in Nigeria and was a major step towards self-government.,,,,,,,,
