level,subject,year,question,option_a,option_b,option_c,option_d,correct_option,explanation,passage,option_e
jss3,Mathematics,2024,What is the value of 3² + 4²?,25,7,12,16,a,"3² = 9, 4² = 16, and 9 + 16 = 25 (Pythagorean triple 3-4-5).",,
jss3,Mathematics,2024,Solve for x: 2x + 5 = 15,5,10,8,6,a,"2x = 15 - 5 = 10, so x = 10 ÷ 2 = 5.",,
jss3,Mathematics,2024,What is the area of a rectangle with length 8cm and width 5cm?,40cm²,13cm²,26cm²,80cm²,a,"Area = length × width = 8 × 5 = 40cm².",,
jss3,English Language,2024,"Choose the correct spelling:","Accomodate","Acommodate","Accommodate","Acomodate",c,"The correct spelling is 'Accommodate' with double c and double m.",,
jss3,English Language,2024,"The plural of 'child' is:","Childs","Childes","Children","Childrens",c,"'Children' is the irregular plural form of 'child'.",,
jss3,English Language,2023,"What does the narrator's brother do for a living?","Doctor","Teacher","Pilot","Engineer",c,"The passage states 'my brother is a pilot'.","When I was a child, my family traveled often. My brother is a pilot and he would take us to different cities during holidays. Those trips were the best memories of my childhood.",
jss3,Basic Science,2024,What is the chemical symbol for water?,H₂O,CO₂,NaCl,O₂,a,H₂O is the chemical formula for water containing two hydrogen atoms and one oxygen atom.,,
jss3,Basic Science,2024,What is the function of the heart?,To pump blood throughout the body,To digest food,To filter waste,To control breathing,a,"The heart is a muscular organ that pumps blood through the circulatory system, delivering oxygen and nutrients to tissues.",,
jss3,Basic Science,2024,Which of these is NOT a state of matter?,Solid,Liquid,Gas,Energy,d,"Solid, liquid, gas, and plasma are the four states of matter. Energy is not a state of matter.",,
ss3,Physics,2024,What is the SI unit of force?,Newton,Joule,Watt,Pascal,a,"The SI unit of force is the Newton (N), named after Sir Isaac Newton.",,
ss3,Physics,2024,What is the speed of light in vacuum?,3 × 10⁶ m/s,3 × 10⁸ m/s,3 × 10¹⁰ m/s,3 × 10⁵ m/s,b,"The speed of light in a vacuum is approximately 3 × 10⁸ meters per second (300,000 km/s).",,
ss3,Physics,2024,What is Ohm's Law?,V = IR,F = ma,E = mc²,P = IV,a,"Ohm's Law states that the voltage (V) across a conductor equals the current (I) multiplied by the resistance (R): V = IR.",,
ss3,Economics,2024,What is the law of demand?,"Price up = demand up","Price up = demand down","Price constant = demand up",None of the above,b,"The law of demand states that as price increases, quantity demanded decreases (inverse relationship), all other factors held constant.",,
ss3,Economics,2024,What is GDP?,Gross Domestic Product,General Development Plan,Government Debt Payment,Global Demand Pool,a,"GDP is the total monetary value of all finished goods and services produced within a country's borders in a specific time period.",,
